DATE,CODE BASE SEC,SEC DSC, LOWER PRICE , TODAY PRICE , UPPER PRICE , STDEV 
20221031,PBS026,SBSN SERI PBS026, 101.144023 , 101.369023 , 101.594023 , 0.2250 
20221031,PBS027,SBSN SERI PBS027, 100.304855 , 100.504855 , 100.704855 , 0.2000 
20221031,PBS028,SBSN SERI PBS028, 106.230290 , 106.530290 , 106.830290 , 0.3000 
20221031,PBS029,SBSN SERI PBS029, 89.918384 , 90.218384 , 90.518384 , 0.3000 
20221031,PBS030,SBSN SERI PBS030, 96.228848 , 96.488848 , 96.748848 , 0.2600 
20221031,PBS031,SBSN SERI PBS031, 95.329043 , 95.554043 , 95.779043 , 0.2250 
20221031,PBS032,SBSN SERI PBS032, 92.649746 , 92.909746 , 93.169746 , 0.2600 
20221031,PBS033,SBSN SERI PBS033, 90.789065 , 91.089065 , 91.389065 , 0.3000 
20221031,PBS034,SBSN SERI PBS034, 90.646910 , 90.946910 , 91.246910 , 0.3000 
20221031,PBS035,SBSN SERI PBS035, 94.575461 , 94.875461 , 95.175461 , 0.3000 
20221031,PBS036,SBSN SERI PBS036, 97.244078 , 97.469078 , 97.694078 , 0.2250 
20221031,PBSG001,SBSN SERI PBSG001, 99.184944 , 99.484944 , 99.784944 , 0.3000 
20221031,SPN03221102,SURAT PERBENDAHARAAN NEGARA SERI SPN03221102, 99.782146 , 99.982146 , 100.182146 , 0.2000 
20221031,SPN03221117,SURAT PERBENDAHARAAN NEGARA SERI SPN03221117, 99.639026 , 99.839026 , 100.039026 , 0.2000 
20221031,SPN03221130,SURAT PERBENDAHARAAN NEGARA SERI SPN03221130, 99.502628 , 99.702628 , 99.902628 , 0.2000 
20221031,SPN03221214,SURAT PERBENDAHARAAN NEGARA SERI SPN03221214, 99.343985 , 99.543985 , 99.743985 , 0.2000 
20221031,SPN03221228,SURAT PERBENDAHARAAN NEGARA SERI SPN03221228, 99.174177 , 99.374177 , 99.574177 , 0.2000 
20221031,SPN03230111,SURAT PERBENDAHARAAN NEGARA SERI SPN03230111, 98.994186 , 99.194186 , 99.394186 , 0.2000 
20221031,SPN03230125,SURAT PERBENDAHARAAN NEGARA SERI SPN03230125, 98.804922 , 99.004922 , 99.204922 , 0.2000 
20221031,SPN12230105,SURAT PERBENDAHARAAN NEGARA SERI SPN12230105, 99.072512 , 99.272512 , 99.472512 , 0.2000 
20221031,SPN12230203,SURAT PERBENDAHARAAN NEGARA SERI SPN12230203, 98.678755 , 98.878755 , 99.078755 , 0.2000 
20221031,SPN12230303,SURAT PERBENDAHARAAN NEGARA SERI SPN12230303, 98.266244 , 98.466244 , 98.666244 , 0.2000 
20221031,SPN12230330,SURAT PERBENDAHARAAN NEGARA SERI SPN12230330, 97.843907 , 98.043907 , 98.243907 , 0.2000 
20221031,SPN12230413,SURAT PERBENDAHARAAN NEGARA SERI SPN12230413, 97.616961 , 97.816961 , 98.016961 , 0.2000 
20221031,SPN12230526,SURAT PERBENDAHARAAN NEGARA SERI SPN12230526, 96.892790 , 97.092790 , 97.292790 , 0.2000 
20221031,SPN12230622,SURAT PERBENDAHARAAN NEGARA SERI SPN12230622, 96.421676 , 96.621676 , 96.821676 , 0.2000 
20221031,SPN12230720,SURAT PERBENDAHARAAN NEGARA SERI SPN12230720, 95.923391 , 96.123391 , 96.323391 , 0.2000 
20221031,SPN12230818,SURAT PERBENDAHARAAN NEGARA SERI SPN12230818, 95.399639 , 95.599639 , 95.799639 , 0.2000 
20221031,SPN12230914,SURAT PERBENDAHARAAN NEGARA SERI SPN12230914, 94.907115 , 95.107115 , 95.307115 , 0.2000 
20221031,SPN12231012,SURAT PERBENDAHARAAN NEGARA SERI SPN12231012, 94.393165 , 94.593165 , 94.793165 , 0.2000 
20221031,SPNS07022023,SURAT PERBENDAHARAAN NEGARA SERI SPNS07022023, 98.621620 , 98.821620 , 99.021620 , 0.2000 
20221031,SPNS07032023,SURAT PERBENDAHARAAN NEGARA SERI SPNS07032023, 98.205077 , 98.405077 , 98.605077 , 0.2000 
20221031,SPNS10012023,SURAT PERBENDAHARAAN NEGARA SERI SPNS10012023, 99.007360 , 99.207360 , 99.407360 , 0.2000 
20221031,SPNS13122022,SURAT PERBENDAHARAAN NEGARA SERI SPNS13122022, 99.355699 , 99.555699 , 99.755699 , 0.2000 
20221031,SPNS15112022,SURAT PERBENDAHARAAN NEGARA SERI SPNS15112022, 99.659020 , 99.859020 , 100.059020 , 0.2000 
20221031,SR012,SUKUK NEGARA RITEL SERI SR-012, 100.095594 , 100.295594 , 100.495594 , 0.2000 
20221031,SR013,SUKUK NEGARA RITEL SERI SR-013, 99.875000 , 100.075000 , 100.275000 , 0.2000 
20221031,SR014,SUKUK NEGARA RITEL SERI SR-014, 98.319082 , 98.544082 , 98.769082 , 0.2250 
20221031,SR015,SUKUK NEGARA RITEL SERI SR-015, 97.173198 , 97.398198 , 97.623198 , 0.2250 
20221031,SR016,SUKUK NEGARA RITEL SERI SR-016, 95.958216 , 96.183216 , 96.408216 , 0.2250 
20221031,SR017,SUKUK NEGARA RITEL SERI SR-017, 98.307559 , 98.532559 , 98.757559 , 0.2250 
20221031,US455780CC89,INDON 2 95 11012023, 99.284330 , 99.710164 , 100.135997 , 0.4258 
20221031,US455780CD62,REP OF INDON 28, 91.234430 , 91.779780 , 92.325129 , 0.5453 
20221031,US455780CE46,INDONESIA REP OF REG 435 11JAN2048, 77.973966 , 78.545565 , 79.117164 , 0.5716 
20221031,US455780CF11,INDONESIA REPUBLIC OF GOV 4, 93.588834 , 94.134183 , 94.679532 , 0.5453 
20221031,US455780CG93,REPUBLIC OF INDONESIA (REG) 4.45% 11FEB2024, 99.063614 , 99.489448 , 99.915281 , 0.4258 
20221031,US455780CH76,REPUBLIC OF INDONESIA 475 11FEB2029, 96.035704 , 96.581053 , 97.126402 , 0.5453 
20221031,US455780CJ33,INDONESIA, 87.927484 , 88.499083 , 89.070683 , 0.5716 
20221031,US455780CK06,INDON 3 4 18092029, 87.417109 , 87.962458 , 88.507808 , 0.5453 
20221031,US455780CN45,INDONESIA REP OF REG 37 30OCT2049, 69.798151 , 70.369750 , 70.941349 , 0.5716 
20221031,US455780CQ75,INDON 2 85 14022030, 84.566551 , 85.138150 , 85.709749 , 0.5716 
20221031,US455780CR58,INDONESIA, 67.318451 , 67.890050 , 68.461649 , 0.5716 
20221031,US455780CS32,INDON 3 85 15102030, 89.261083 , 89.832682 , 90.404281 , 0.5716 
20221031,US455780CT15,REPUBLIC OF INDONESIA, 74.919191 , 75.490790 , 76.062389 , 0.5716 
20221031,US455780CU87,INDONESIA REP , 74.750027 , 75.321626 , 75.893225 , 0.5716 
20221031,US455780CV60,INDON 1 85 12032031, 75.868679 , 76.440278 , 77.011877 , 0.5716 
20221031,US455780CW44,REPUBLIC OF INDONESIA 12MAR2051, 63.556623 , 64.128222 , 64.699821 , 0.5716 
20221031,US455780CX27,INDONESIA, 59.968901 , 60.540500 , 61.112099 , 0.5716 
20221031,US455780CY00,INDON 2 15 28072031, 77.516567 , 78.088167 , 78.659766 , 0.5716 
20221031,US455780DG84,INDONESIA, 61.169451 , 61.741050 , 62.312649 , 0.5716 
